Component,Variable,English_Default,Arabic,Bulgarian,Chinese_Simplified,Chinese_Traditional,Croatian,Czech,Danish,Dutch ,English_United Kingdom,Estonian,Finnish,French,German,Hebrew,Hungarian,Icelandic,Italian,Japanese,Korean,Latvian,Lithuanian,Malay,Norwegian,Polish,Portuguese,Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,Swedish,Thai,Ukranian,Vietnamese
,,en,ar,bg,zh-Hans,zh-Hant,hr,cs,da,nl,en-GB,et,fi,fr,de,he,hu,is,it,ja,ko,lv,lt,ms,no,pl,pt,ro,ru,sr,sk,sl,es,sv,th,uk,vi
Remove Job Filter,labelRemoveFilter,Remove Filter,قم بإزالة الفلتر,Премахване на филтъра,移除过滤器,移除過濾器,Ukloni filtar,Odebrat filtr,Fjern filter,Filter verwijderen,Remove Filter,Eemalda filter,Poista suodatin,Supprimer le filtre,Filter entfernen,הסר מסנן,Szűrő eltávolítása,Fjarlægja síu,Rimuovere il filtro,フィルターを削除,필터 제거,Noņemt filtru,Pašalinti filtrą,Alih Keluar Penapis,Fjern filter,Usuń filtr,Remover filtro,Eliminați filtrul,Удалить фильтр,Уклони филтер,Odstrániť filter,Odstrani filter,Quitar filtro,Ta bort filter,ลบตัวกรอง,Видалити фільтр,Xóa bộ lọc
Job Alert Add Button,labelAddJobAlert,Add Job Alert,إضافة تنبيه وظيفة,Добавяне на известие за работа,添加职位提醒,新增職位提醒,Dodaj upozorenje o poslu,Přidat upozornění na pracovní nabídku,Tilføj jobalarm,Vacaturemelding toevoegen,Add Job Alert,Lisa tööhoiatus,Lisää työpaikkailmoitus,Ajouter une alerte emploi,Jobbenachrichtigung hinzufügen,הוסף התראת דרושים,Állásértesítés hozzáadása,Bæta við atvinnuviðvörun,Aggiungi avviso di lavoro,求人アラートを追加,채용 알림 추가,Pievienot darba brīdinājumu,Pridėti darbo įspėjimą,Tambah Amaran Kerja,Legg til jobbvarsel,Dodaj alert pracy,Adicionar alerta de emprego,Adăugați o alertă de job,Добавить оповещение о вакансии,Додај обавештење о послу,Pridať upozornenie na pracovnú ponuku,Dodaj opozorilo o delovnem mestu,Agregar alerta de empleo,Lägg till jobbavisering,เพิ่มการแจ้งเตือนงาน,Додати сповіщення про вакансію,Thêm thông báo việc làm
Job Alert Keyword Region,labelSelectedJobAlerts,Selected Job Alerts,تنبيهات الوظائف المختارة,Избрани сигнали за работа,精选职位提醒,精選職位提醒,Odabrana upozorenja o poslovima,Vybraná upozornění na pracovní nabídky,Udvalgte jobalarmer,Geselecteerde vacaturemeldingen,Selected Job Alerts,Valitud tööpakkumiste teavitused,Valitut työpaikkailmoitukset,Alertes emploi sélectionnées,Ausgewählte Jobbenachrichtigungen,התראות דרושים נבחרות,Kiválasztott állásértesítések,Valdar atvinnuviðvaranir,Avvisi di lavoro selezionati,厳選された求人情報,선택된 채용 공고 알림,Atlasītie darba brīdinājumi,Pasirinktų darbo skelbimų įspėjimai,Amaran Pekerjaan Terpilih,Utvalgte jobbvarsler,Wybrane alerty dotyczące ofert pracy,Alertas de emprego selecionados,Alerte de locuri de muncă selectate,Уведомления о вакансиях,Одабрана обавештења о пословима,Vybrané upozornenia na pracovné ponuky,Izbrana opozorila o delovnih mestih,Alertas de empleo seleccionadas,Valda jobbaviseringar,การแจ้งเตือนงานที่เลือก,Вибрані сповіщення про вакансії,Thông báo việc làm được chọn lọc
Job Alert CAPTCHA,labelCaptcha,Captcha,كابتشا,Капча,验证码,驗證碼,Kapča,Captcha,Captcha,Captcha,Captcha,Captcha,Captcha,Captcha,Captcha,קפטצ'ה,Captcha,Captcha,Captcha,キャプチャ,캡차,CAPTCHA,„Captcha“,Captcha,Captcha,Captcha,Captcha,Captcha,Капча,Капча,Captcha,Kapča,Captcha,Captcha,แคปชา,Капча,Mã xác nhận
Job Alert Submit,labelSubmitJobAlerts,Submit Job Alerts,إرسال تنبيهات الوظائف,Изпращане на известия за работа,提交职位提醒,提交職位提醒,Pošalji upozorenja o poslovima,Odeslat upozornění na pracovní nabídky,Indsend jobalarmer,Vacaturemeldingen indienen,Submit Job Alerts,Esita tööpakkumiste teavitusi,Lähetä työpaikkahälytyksiä,Envoyer des alertes emploi,Jobbenachrichtigungen einreichen,שלח התראות דרושים,Állásértesítések beküldése,Senda inn atvinnuviðvaranir,Invia avvisi di lavoro,求人アラートを送信する,채용 공고 알림 신청하기,Iesniegt darba brīdinājumus,Pateikti darbo skelbimų įspėjimus,Hantar Makluman Pekerjaan,Send inn jobbvarsler,Prześlij alerty o pracy,Enviar alertas de emprego,Trimiteți alerte de locuri de muncă,Отправить уведомление о вакансиях,Пошаљи обавештења о пословима,Odoslať upozornenia na pracovné ponuky,Pošlji opozorila o delovnih mestih,Enviar alertas de empleo,Skicka jobbaviseringar,ส่งการแจ้งเตือนงาน,Надіслати сповіщення про вакансії,Đăng ký nhận thông báo việc làm
Global Header Nav,labelPrimaryNavigation,Main,رئيسي,Главно,主要的,主要的,Glavni,Hlavní,Hoved,Voornaamst,Main,Peamine,Pääasiallinen,Principal,Hauptsächlich,רָאשִׁי,Fő,Aðal,Principale,主要,기본,Galvenais,Pagrindinis,Utama,Hoved,Główny,Principal,Principal,Основной,Главни,Hlavné,Glavni,Principal,Huvudsaklig,หลัก,Головне,Chủ yếu
Save Job Button,labelSaveJob,Save Job,حفظ الوظيفة,Запазване на задачата,保住工作,保住工作,Spremi posao,Uložit úlohu,Gem job,Baan behouden,Save Job,Salvesta töökoht,Tallenna työ,Sauvegarder l'emploi,Job retten,שמור עבודה,Állás mentése,Vista verk,Salva lavoro,ジョブを保存,일자리 저장,Saglabāt darbu,Išsaugoti darbą,Simpan Kerja,Lagre jobb,Zapisz zadanie,Salvar vaga,Salvați jobul,Сохранить вакансию,Сачувај посао,Uložiť úlohu,Shrani opravilo,Guardar empleo,Spara jobb,บันทึกงาน,Зберегти завдання,Lưu công việc
Global Header Save Job Link,labelViewSavedJobs,View Saved Jobs,عرض الوظائف المحفوظة,Преглед на запазените работни места,查看已保存的职位,查看已保存的職位,Prikaži spremljene poslove,Zobrazit uložené úlohy,Se gemte job,Bekijk opgeslagen vacatures,View Saved Jobs,Kuva salvestatud töökohad,Näytä tallennetut työpaikat,Voir les offres d'emploi enregistrées,Gespeicherte Jobs ansehen,הצג עבודות שנשמרו,Mentett állások megtekintése,Skoða vistaðar störf,Visualizza i lavori salvati,保存した求人を見る,저장된 채용 정보 보기,Skatīt saglabātos darbus,Peržiūrėti išsaugotus darbus,Lihat Pekerjaan yang Disimpan,Vis lagrede jobber,Wyświetl zapisane oferty pracy,Ver trabalhos salvos,Vizualizați locurile de muncă salvate,Просмотреть сохраненные вакансии,Погледајте сачуване послове,Zobraziť uložené úlohy,Ogled shranjenih delovnih mest,Ver trabajos guardados,Visa sparade jobb,ดูงานที่บันทึกไว้,Переглянути збережені вакансії,Xem các công việc đã lưu
Search Form,labelSearchJobs,Search Jobs,ابحث عن وظائف,Търсене на работа,搜索职位,搜尋職位,Pretraživanje poslova,Hledat pracovní nabídky,Søg job,Vacatures zoeken,Search Jobs,Otsi töökohti,Hae työpaikkoja,Recherche d'emplois,Stellenangebote suchen,חיפוש משרות,Álláskeresés,Leita að störfum,Cerca lavoro,求人検索,채용 정보 검색,Meklēt darba sludinājumus,Ieškoti darbo,Cari Pekerjaan,Søk etter jobber,Szukaj ofert pracy,Procurar empregos,Căutare locuri de muncă,Поиск работы,Претрага послова,Hľadať pracovné ponuky,Iskanje delovnih mest,Buscar empleos,Sök jobb,ค้นหางาน,Пошук вакансій,Tìm việc làm
Save Filter,labelSearchFilter,Search Filter,فلتر البحث,Филтър за търсене,搜索筛选器,搜尋篩選器,Filter za pretraživanje,Vyhledávací filtr,Søgefilter,Zoekfilter,Search Filter,Otsingufilter,Hakusuodatin,Filtre de recherche,Suchfilter,מסנן חיפוש,Keresési szűrő,Leitarsía,Filtro di ricerca,検索フィルター,검색 필터,Meklēšanas filtrs,Paieškos filtras,Penapis Carian,Søkefilter,Filtr wyszukiwania,Filtro de pesquisa,Filtru de căutare,Фильтр поиска,Филтер за претрагу,Vyhľadávací filter,Iskalni filter,Filtro de búsqueda,Sökfilter,ตัวกรองการค้นหา,Фільтр пошуку,Bộ lọc tìm kiếm
Pagination,labelPagination,Pagination,ترقيم الصفحات,Пагинация,分页,分頁,Paginacija,Stránkování,Paginering,Paginering,Pagination,Lehekülgede arv,Sivunumerointi,Pagination,Pagination,דִפּוּף,Lapszámozás,Síðunúmeraskipti,Paginazione,ページネーション,쪽수 매기기,Lappušu numerācija,Puslapavimas,Penomboran halaman,Paginering,Paginacja,Paginação,Paginare,Пагинация,Пагинација,Stránkovanie,Oštevilčenje strani,Paginación,Paginering,การแบ่งหน้า,Пагінація,Đánh số trang
New Window,labelNewWindow,opens in new window,يفتح في نافذة جديدة,отваря се в нов прозорец,在新窗口中打开,在新視窗中開啟,otvara se u novom prozoru,otevře se v novém okně,åbner i et nyt vindue,wordt in een nieuw venster geopend,opens in new window,avaneb uues aknas,avautuu uuteen ikkunaan,ouvre dans une nouvelle fenêtre,wird in einem neuen Fenster geöffnet,נפתח בחלון חדש,új ablakban nyílik meg,opnast í nýjum glugga,si apre in una nuova finestra,新しいウィンドウで開きます,새 창에서 열립니다,atveras jaunā logā,atsidaro naujame lange,dibuka dalam tetingkap baharu,åpnes i nytt vindu,otwiera się w nowym oknie,abre em nova janela,se deschide într-o fereastră nouă,открывается в новом окне,отвара се у новом прозору,otvorí sa v novom okne,odpre se v novem oknu,Se abre en una ventana nueva,öppnas i nytt fönster,เปิดในหน้าต่างใหม่,відкривається в новому вікні,(mở trong cửa sổ mới)
Search Results Message,labelResultsAvailable,{count} of {total} results are now available.,{count} من أصل {total} نتائج متاحة الآن.,Вече са налични {count} от {total} резултата.,现在共有 {count} 条结果，总计 {total} 条结果。,現在共有 {count} 項結果，總計 {total} 條結果。,Sada je dostupno {count} od {total} rezultata.,Nyní je k dispozici {count} z {total} výsledků.,{count} af {total} resultater er nu tilgængelige.,{count} van {total} resultaten zijn nu beschikbaar.,{count} of {total} results are now available.,{count} tulemust {total} tulemusest on nüüd saadaval.,{count} / {total} tulosta on nyt saatavilla.,{count} des {total} résultats sont maintenant disponibles.,Es sind nun {count} von {total} Ergebnissen verfügbar.,{count} מתוך {total} תוצאות זמינות כעת.,{count} / {total} találat most elérhető.,{count} af {total} niðurstöðum eru nú tiltækar.,{count} di {total} risultati sono ora disponibili.,{total}件中{count}件の結果が表示されました。,{총}개의 결과 중 {count}개의 결과가 나왔습니다.,Tagad ir pieejami {count} no {total} rezultātiem.,{count} iš {total} rezultatų jau pasiekiami.,{count} daripada {total} keputusan kini tersedia.,{count} av {total} resultater er nå tilgjengelige.,{count} z {total} wyników jest teraz dostępnych.,{count} de {total} resultados já estão disponíveis.,{count} din {total} rezultate sunt acum disponibile.,Теперь доступно {количество} из {общее количество} результатов.,Сада је доступно {count} од {total} резултата.,K dispozícii je {count} z {total} výsledkov.,Na voljo je {count} od {total} rezultatov.,Ya están disponibles {count} de {total} resultados.,{count} av {total} resultat är nu tillgängliga.,ขณะนี้มีผลลัพธ์ {count} จากทั้งหมด {total} รายการให้ดูแล้ว,Доступно {count} з {total} результатів.,Hiện đã có {count} trong tổng số {total} kết quả.
Sorted Message (Relevency),labelResultsSorted,Results sorted by {label},النتائج مرتبة حسب {label},"Резултати, сортирани по {label}",按 {label} 排序的结果,按 {label} 排序的結果,Rezultati sortirani po {label},Výsledky seřazené podle {label},Resultater sorteret efter {label},Resultaten gesorteerd op {label},Results sorted by {label},Tulemused sorteeritud sildi {label} järgi,Tulokset lajiteltu {label} -perusteella,Résultats triés par {label},Ergebnisse sortiert nach {label},תוצאות ממוינות לפי {label},Eredmények rendezve {label} szerint,Niðurstöður raðaðar eftir {label},Risultati ordinati per {etichetta},結果は{label}でソートされています。,{label} 기준으로 정렬된 결과,Rezultāti sakārtoti pēc {label},Rezultatai surūšiuoti pagal {label},Keputusan disusun mengikut {label},Resultater sortert etter {label},Wyniki posortowane według {label},Resultados ordenados por {label},Rezultate sortate după {label},Результаты отсортированы по {метке},Резултати сортирани по {label},Výsledky zoradené podľa {label},Rezultati razvrščeni po {label},Resultados ordenados por {etiqueta},Resultat sorterade efter {label},ผลลัพธ์เรียงลำดับตาม {label},Результати відсортовано за {label},Kết quả được sắp xếp theo {label}